"age","job","marital","education","balance","housing","loan","day","month","duration","previous","poutcome","y"
30,"unemployed","married","primary",1787,"no","no",19,"oct",79,0,"unknown","no"
33,"services","married","secondary",4789,"yes","yes",11,"may",220,4,"failure","no"
35,"management","single","tertiary",1350,"yes","no",16,"apr",185,1,"failure","no"
30,"management","married","tertiary",1476,"yes","yes",3,"jun",199,0,"unknown","no"
59,"blue-collar","married","secondary",0,"yes","no",5,"may",226,0,"unknown","no"
35,"management","single","tertiary",747,"no","no",23,"feb",141,3,"failure","no"
36,"self-employed","married","tertiary",307,"yes","no",14,"may",341,2,"other","no"
39,"technician","married","secondary",147,"yes","no",6,"may",151,0,"unknown","no"
41,"entrepreneur","married","tertiary",221,"yes","no",14,"may",57,0,"unknown","no"
43,"services","married","primary",-88,"yes","yes",17,"apr",313,2,"failure","no"
39,"services","married","secondary",9374,"yes","no",20,"may",273,0,"unknown","no"
43,"admin.","married","secondary",264,"yes","no",17,"apr",113,0,"unknown","no"
36,"technician","married","tertiary",1109,"no","no",13,"aug",328,0,"unknown","no"
20,"student","single","secondary",502,"no","no",30,"apr",261,0,"unknown","yes"
31,"blue-collar","married","secondary",360,"yes","yes",29,"jan",89,1,"failure","no"
40,"management","married","tertiary",194,"no","yes",29,"aug",189,0,"unknown","no"
56,"technician","married","secondary",4073,"no","no",27,"aug",239,0,"unknown","no"
37,"admin.","single","tertiary",2317,"yes","no",20,"apr",114,2,"failure","no"
25,"blue-collar","single","primary",-221,"yes","no",23,"may",250,0,"unknown","no"
31,"services","married","secondary",132,"no","no",7,"jul",148,1,"other","no"
38,"management","divorced","unknown",0,"yes","no",18,"nov",96,0,"unknown","no"
42,"management","divorced","tertiary",16,"no","no",19,"nov",140,0,"unknown","no"
44,"services","single","secondary",106,"no","no",12,"jun",109,0,"unknown","no"
44,"entrepreneur","married","secondary",93,"no","no",7,"jul",125,0,"unknown","no"
26,"housemaid","married","tertiary",543,"no","no",30,"jan",169,0,"unknown","no"
41,"management","married","tertiary",5883,"no","no",20,"nov",182,0,"unknown","no"
55,"blue-collar","married","primary",627,"yes","no",5,"may",247,0,"unknown","no"
67,"retired","married","unknown",696,"no","no",17,"aug",119,2,"failure","no"
56,"self-employed","married","secondary",784,"no","yes",30,"jul",149,0,"unknown","no"
53,"admin.","married","secondary",105,"no","yes",21,"aug",74,0,"unknown","no"
68,"retired","divorced","secondary",4189,"no","no",14,"jul",897,0,"unknown","yes"
31,"technician","married","secondary",171,"no","no",27,"aug",81,0,"unknown","no"
59,"management","married","secondary",42,"no","no",21,"nov",40,0,"unknown","no"
32,"management","single","tertiary",2536,"yes","no",26,"aug",958,0,"unknown","yes"
49,"technician","married","tertiary",1235,"no","no",13,"aug",354,0,"unknown","yes"
42,"admin.","divorced","secondary",1811,"yes","no",14,"may",150,0,"unknown","no"
78,"retired","divorced","primary",229,"no","no",22,"oct",97,0,"unknown","yes"
32,"blue-collar","married","secondary",2089,"yes","no",14,"nov",132,0,"unknown","yes"
33,"management","married","secondary",3935,"yes","no",6,"may",765,2,"failure","yes"
23,"services","single","tertiary",363,"yes","no",30,"may",16,0,"unknown","no"
38,"management","single","tertiary",11971,"yes","no",17,"nov",609,3,"failure","no"
36,"management","single","tertiary",553,"no","no",11,"aug",106,0,"unknown","no"
52,"blue-collar","married","secondary",1117,"yes","no",13,"may",365,0,"unknown","no"
32,"technician","married","tertiary",396,"yes","no",13,"may",205,0,"unknown","no"
32,"technician","single","tertiary",2204,"yes","no",21,"nov",11,0,"unknown","no"
34,"management","single","tertiary",872,"yes","no",7,"may",105,0,"unknown","no"
55,"blue-collar","married","primary",145,"no","no",2,"feb",59,2,"other","no"
26,"blue-collar","married","primary",0,"yes","no",21,"may",425,0,"unknown","no"
32,"entrepreneur","single","primary",-849,"yes","yes",4,"feb",204,0,"unknown","no"
61,"admin.","married","unknown",4629,"yes","no",27,"jan",181,1,"success","yes"
45,"blue-collar","divorced","primary",844,"no","no",5,"jun",1018,0,"unknown","yes"
37,"technician","single","secondary",228,"yes","no",20,"aug",1740,0,"unknown","no"
38,"technician","single","secondary",50,"no","no",29,"aug",98,0,"unknown","no"
34,"technician","married","tertiary",1539,"yes","no",15,"jun",441,1,"other","yes"
53,"blue-collar","married","secondary",2231,"yes","no",14,"jul",272,0,"unknown","no"
48,"admin.","married","secondary",3064,"yes","no",15,"jul",159,0,"unknown","no"
57,"management","married","secondary",82,"no","yes",4,"feb",140,0,"unknown","no"
33,"self-employed","single","tertiary",2155,"no","no",17,"nov",295,0,"unknown","no"
36,"retired","single","secondary",101,"yes","yes",26,"may",314,0,"unknown","no"
54,"technician","divorced","secondary",784,"yes","yes",15,"may",579,0,"unknown","no"
41,"blue-collar","married","primary",-516,"no","yes",8,"jul",554,0,"unknown","no"
63,"retired","married","secondary",415,"yes","no",7,"oct",323,0,"unknown","no"
48,"management","married","tertiary",5887,"no","no",13,"aug",227,0,"unknown","no"
48,"services","married","secondary",1355,"no","no",4,"jul",134,0,"unknown","no"
56,"admin.","married","secondary",16873,"no","no",7,"oct",223,0,"unknown","no"
51,"blue-collar","divorced","secondary",203,"yes","no",8,"may",134,5,"failure","no"
31,"services","married","secondary",338,"yes","no",28,"jan",155,0,"unknown","no"
29,"technician","married","secondary",444,"yes","no",21,"jul",130,0,"unknown","no"
41,"management","married","secondary",0,"no","yes",7,"jul",630,0,"unknown","no"
32,"technician","single","tertiary",360,"no","no",19,"nov",164,0,"unknown","no"
37,"management","married","tertiary",0,"no","no",16,"jul",268,3,"success","yes"
42,"entrepreneur","divorced","tertiary",2,"yes","no",5,"may",380,0,"unknown","no"
31,"management","single","tertiary",6248,"yes","no",9,"may",154,0,"unknown","no"
41,"services","married","tertiary",412,"yes","no",3,"jun",154,0,"unknown","no"
56,"retired","married","secondary",344,"yes","no",15,"may",221,0,"unknown","no"
54,"management","divorced","tertiary",3222,"no","no",14,"aug",67,0,"unknown","no"
41,"blue-collar","divorced","secondary",174,"yes","no",14,"may",367,1,"other","no"
40,"technician","single","secondary",591,"no","yes",14,"aug",87,0,"unknown","no"
50,"blue-collar","divorced","primary",388,"no","no",5,"feb",701,0,"unknown","no"
40,"unemployed","married","secondary",219,"yes","no",17,"nov",204,1,"failure","no"
27,"admin.","divorced","secondary",451,"yes","no",16,"jul",652,0,"unknown","yes"
60,"retired","married","primary",5,"no","no",26,"aug",63,0,"unknown","no"
28,"admin.","single","secondary",177,"yes","yes",6,"may",150,0,"unknown","no"
52,"services","married","secondary",657,"no","no",7,"jul",398,2,"failure","yes"
37,"management","married","tertiary",1315,"no","no",30,"jun",224,0,"unknown","yes"
51,"blue-collar","married","primary",1466,"yes","no",7,"may",406,0,"unknown","no"
41,"technician","single","secondary",879,"no","yes",7,"jul",60,0,"unknown","no"
35,"blue-collar","single","primary",293,"yes","no",30,"may",521,0,"unknown","no"
38,"admin.","married","secondary",424,"yes","no",17,"apr",279,0,"unknown","no"
34,"blue-collar","married","secondary",1831,"yes","no",20,"may",203,0,"unknown","no"
39,"blue-collar","married","primary",111,"no","no",18,"nov",201,0,"unknown","no"
34,"blue-collar","married","primary",455,"yes","no",20,"jun",372,0,"unknown","no"
27,"services","single","secondary",-195,"yes","no",18,"may",391,0,"unknown","yes"
32,"management","single","tertiary",3616,"no","no",14,"aug",165,0,"unknown","no"
57,"blue-collar","married","secondary",14093,"no","no",11,"aug",231,0,"unknown","no"
41,"unknown","single","tertiary",1567,"no","no",1,"jul",291,0,"unknown","no"
41,"admin.","married","tertiary",5426,"yes","no",14,"may",149,0,"unknown","no"
30,"admin.","single","tertiary",261,"no","no",19,"oct",233,20,"failure","no"
36,"blue-collar","divorced","secondary",2843,"no","no",12,"feb",473,1,"success","no"
31,"unemployed","single","primary",406,"no","no",4,"feb",736,0,"unknown","yes"
36,"blue-collar","married","secondary",0,"yes","no",6,"may",337,0,"unknown","no"
38,"management","single","tertiary",493,"yes","no",11,"may",553,7,"failure","no"
49,"technician","married","secondary",5996,"no","no",21,"nov",345,0,"unknown","no"
57,"services","single","primary",3777,"yes","no",13,"may",65,0,"unknown","no"
34,"management","single","secondary",524,"no","no",13,"aug",9,0,"unknown","no"
32,"management","single","tertiary",574,"yes","no",14,"apr",259,3,"failure","no"
37,"blue-collar","married","secondary",427,"yes","yes",9,"jun",371,0,"unknown","no"
